year,Country,Points,language,ISO,gov_right1,gov_cent1,gov_left1,Youth,CultureGoodsExport,exp_percent_gdp,gdp_per_capita,agri_percent_gdp,ind_percent_gdp,manu_percent_gdp,serv_percent_gdp,pillar_ind,politicalattitude,youth_inrate,culturegoodsexp_inrate,points_grid,
1975,Belgium,17,Germanic,BE,28.57,71.43,0,,,45.91603657,6701,,,,,NA,1,NA,NA,1,
1976,Belgium,68,Germanic,BE,28.79,71.21,0,,,48.55438286,7243,,,,,NA,1,NA,NA,2,
1977,Belgium,69,Germanic,BE,13.41,63.86,22.73,,,47.50725022,8427,,,,,NA,1,NA,NA,2,
1978,Belgium,125,Germanic,BE,0,60.51,39.49,,,45.76164418,10290,,,,,NA,1,NA,NA,3,
1979,Belgium,5,Germanic,BE,0,59.77,40.23,,,49.9224385,11811,,,,,NA,1,NA,NA,0,
1980,Belgium,14,Germanic,BE,7.94,48.61,43.45,,,50.11728048,12864,,,,,NA,1,NA,NA,0,
1981,Belgium,40,Germanic,BE,2.05,51.92,46.03,,,54.06352206,10623,,,,,NA,1,NA,NA,1,
1982,Belgium,96,Germanic,BE,50,50,0,,,58.10331181,9344,,,,,NA,0,NA,NA,3,
1983,Belgium,13,Germanic,BE,50,50,0,,,60.39562658,8846,,,,,NA,0,NA,NA,0,
1984,Belgium,70,Germanic,BE,50,50,0,,,64.41235168,8457,,,,,NA,0,NA,NA,2,
1985,Belgium,7,Germanic,BE,49.69,50.31,0,,,62.45432742,8751,,,,,NA,1,NA,NA,0,
1986,Belgium,176,Germanic,BE,46.67,53.33,0,,,57.28304983,12170,,,,,NA,1,NA,NA,3,
1987,Belgium,56,Germanic,BE,46.08,53.92,0,,,55.86776307,15136,,,,,NA,1,NA,NA,2,
1988,Belgium,5,Germanic,BE,19.13,54.39,26.49,,,59.40808324,16391,,,,,NA,1,NA,NA,0,
1989,Belgium,13,Germanic,BE,0,52.94,47.06,,,63.56674894,16525,,,,,NA,1,NA,NA,0,
1990,Belgium,46,Germanic,BE,0,52.94,47.06,,,61.61369096,20600,,,,,NA,1,NA,NA,2,
1991,Belgium,23,Germanic,BE,0,51.49,48.51,,,60.22965488,21042,,,,,NA,1,NA,NA,1,
1992,Belgium,11,Germanic,BE,0,46.74,53.26,,,58.80893033,23373,,,,,NA,2,NA,NA,0,
1993,Belgium,3,Germanic,BE,0,46.67,53.33,,,56.10774116,22284,,,,,NA,2,NA,NA,0,
1995,Belgium,8,Germanic,BE,0,46.67,53.33,,,60.11437172,28414,1.306623478,26.04581425,18.3362939,62.79132744,3,2,NA,NA,0,
1996,Belgium,22,Germanic,BE,0,46.67,53.33,,,61.19239096,27490,1.32831141,25.81088642,18.16805585,62.5668554,3,2,NA,NA,1,
1998,Belgium,122,Germanic,BE,0,46.67,53.33,,,64.17434502,25338,1.255675473,25.57068537,18.15923392,62.6376149,3,2,NA,NA,3,
1999,Belgium,38,Germanic,BE,21.99,24.68,53.33,,,64.56305952,25244,1.076235331,24.72584434,17.30709231,63.41402416,3,2,NA,NA,2,
2000,Belgium,2,Germanic,BE,46.67,0,53.33,,,72.54739516,23042,1.17600528,24.94383258,17.53597445,63.05584289,3,2,NA,NA,0,
2002,Belgium,33,Germanic,BE,46.67,0,53.33,,,70.8312977,24888,1.033134143,23.78733634,16.79458705,64.6783107,3,2,NA,NA,2,
2003,Belgium,165,Germanic,BE,46.67,0,53.33,,,69.03650851,30588,1.029444503,23.22665489,16.20023741,65.31204459,3,2,NA,NA,3,
2004,Belgium,7,Germanic,BE,46.67,0,53.33,,8.17,70.90627745,35364,1.022910541,22.95999895,16.08993608,65.24479339,3,2,NA,NA,0,
2005,Belgium,29,Germanic,BE,46.67,0,53.33,,7.28,74.28282892,36796,0.840639974,22.57377815,15.87094598,65.87433266,3,2,NA,0.030938945,0,
2006,Belgium,69,Germanic,BE,46.67,0,53.33,,6.67,76.80499706,38673,0.907269381,22.13992554,15.01853751,66.14894903,3,2,NA,0.011316976,2,
2007,Belgium,14,Germanic,BE,46.55,1.08,52.37,,7.14,78.3018047,44263,0.88752394,22.28195248,15.06031828,66.05405,3,2,NA,0.012613605,0,
2008,Belgium,16,Germanic,BE,45.84,33.85,20.31,10666866,6.51,80.88061998,48107,0.712338067,21.5954485,13.99274072,66.95736178,3,0,NA,0.013610574,0,
2009,Belgium,1,Germanic,BE,43.6,36.4,20,10753080,6.24,68.83400371,44584,0.645274319,20.60002979,12.91804147,68.08687435,3,0,0.008082411,0.013145304,0,
2010,Belgium,143,Germanic,BE,40,40,20,10839905,5.25,75.85006448,44142,0.765104157,20.89458036,13.33859852,67.65763406,3,0,0.008074431,0.012893306,3,
2010,Belgium,167,Germanic,BE,40,40,20,10839905,5.25,75.85006448,44142,0.765104157,20.89458036,13.33859852,67.65763406,3,0,0.008074431,0.012893306,3,
2011,Belgium,53,Germanic,BE,39.89,38.79,21.32,11000638,5.32,80.69736291,47349,0.64803422,20.7778964,12.92905935,67.97273596,3,0,0.014827897,0.01223146,1,
2012,Belgium,16,Germanic,BE,38.46,23.08,38.46,11075889,4.92,80.40449051,44673,0.781226735,20.07524056,12.62420868,68.49910157,3,0,0.006840603,0.0117382,0,
2013,Belgium,71,Germanic,BE,38.46,23.08,38.46,11137974,4.66,79.3243484,46745,0.681174913,19.87919976,12.56263999,68.77188964,3,0,0.005605419,0.010750241,2,
2013,Belgium,75,Germanic,BE,38.46,23.08,38.46,11137974,4.66,79.3243484,46745,0.681174913,19.87919976,12.56263999,68.77188964,3,0,0.005605419,0.010750241,2,
2014,Belgium,28,Germanic,BE,44.26,25.92,29.82,11180840,4.32,79.80100907,47701,0.637835968,19.67482648,12.56468619,69.16114583,3,0,0.003848635,0.008981057,0,
2015,Belgium,217,Germanic,BE,64.29,35.71,0,11237274,4.11,77.80528215,40992,0.68641478,19.66988832,12.69333388,69.2286131,3,0,0.005047385,0.008423043,3,
2015,Belgium,149,Germanic,BE,64.29,35.71,0,11237274,4.11,77.80528215,40992,0.68641478,19.66988832,12.69333388,69.2286131,3,0,0.005047385,0.008423043,3,
2016,Belgium,181,Germanic,BE,64.29,35.71,0,11311117,3.75,79.42961547,41984,0.628433476,19.28822027,12.35694408,69.37556341,3,0,0.006571256,,2,
