YEAR,WINNER,SONG,Artist,POINTS,Language,Sex,Format (band or not),Genre,Order act,Total acts finale,BPM,Genre billboard,Percentage of points possible
2022,,,,,,,,,,,,,
2021,Italy,Zitti e buoni,Måneskin,524,Italian,2,1,hard rock,24,26,103,pop,57.46
2020,,,,,,,,,,,,,
2019,Netherlands,Arcade,Duncan Laurence,498,English,1,0,pop,12,26,72,"hip hop, folk, world &country",51.88
2018,Israel,Toy,Netta,529,English,0,0,"electronic, pop",22,26,130,hip hop,52.48
2017,Portugal,Amar Pelos Dois,Salvador Sobral,758,Portuguese,1,0,pop,11,26,173,dance-pop,77.03
2016,Ukraine,1944,Jamala,534,"Crimean Tatar, English",0,0,pop,21,26,120,"electronic, pop",54.27
2015,Sweden,Heroes,Måns Zelmerlöw,365,English,1,0,pop,10,27,124,"electronic, funk/soul, pop",77.99
2014,Austria,Rise Like a Phoenix,Conchita Wurst,290,English,1,0,pop,11,26,82,funk/soul,67.13
2013,Denmark,Only Teardrops,Emmelie de Forest,281,English,0,0,"Pop, Folk, World, & Country",18,26,111,hip hop,61.62
2012,Sweden,Euphoria,Loreen,372,English,0,0,"electronic, pop",17,26,132,"electrinic, pop",75.61
2011,Azerbaijan,Running Scared,Ell/Nikki,221,English,2,1,"electronic, pop",19,25,172,pop,43.85
2010,Germany,Satellite,Lena,246,English,0,0,pop,22,25,95,"electronic, pop",53.95
2009,Norway,Fairytale,Alexander Rybak,387,English,1,0,pop,20,25,108,"electronic, pop",78.66
2008,Russia,Believe,Dima Bilan,272,English,1,1,pop,24,25,134,hip hop,53.97
2007,Serbia,Molitva,Marija Šerifović,268,Serbian,0,0,"electronic, pop",17,24,81,"funk/soul, pop",54.47
2006,Finland,Hard Rock Hallelujah,Lordi,292,English,2,1,rock,19,24,123,"rock, pop",65.77
2005,Greece,My Number One,Helena Paparizou,230,English,0,0,"Pop, Folk, World, & Country",10,24,113,"electronic, hip hop",50.44
2004,Ukraine,Wild Dances,Ruslana,280,"English, Ukrainian",0,0,"rock, pop",4,24,172,hip hop,66.67
2003,Turkey,Everyway That I Can,Sertab Erener,167,English,0,0,"electronic, pop, hip hop",23,26,95,hip hop,55.67
2002,Latvia,I Wanna,Marie N,176,English,0,0,"latin, pop",20,24,144,rock,63.77
2001,Estonia,Everybody,"Tanel Padar, Dave Benton & 2XL",198,English,2,1,pop,14,23,124,rock,75
2000,Denmark,Fly On The Wings Of Love,Olsen Brothers,195,English,2,1,"Pop, Folk, World, & Country",15,24,104,"pop, folk, world & country",70.65
1999,Sweden,Take Me To Your Heaven,Charlotte Nilsson,163,English,0,0,"electronic, hip hop, pop",8,23,144,"electronic, pop",61.74
1998,Israel,Diva,Dana International,172,Hebrew,0,0,electronic,8,25,134,"hip hop, funk/soul",59.72
1997,United Kingdom,Love Shine A Light,Katrina and The Waves,227,English,2,1,"pop rock, euro house, synth-pop",24,25,84,rock,78.82
1996,Ireland,The Voice,Eimear Quinn,162,English,0,0,pop,17,23,94,"house, latin",61.36
1995,Norway,Nocturne,Secret Garden,148,Norwegian,2,1,electronic,5,23,79,hip hop,56.06
1994,Ireland,Rock 'n' Roll Kids,Paul Harrington & Charlie McGettigan,226,English,2,1,pop,3,25,124,electronic,78.47
1993,Ireland,In Your Eyes,Niamh Kavanagh,187,English,0,0,pop,14,25,131,"funk/soul, pop",64.93
1992,Ireland,Why Me,Linda Martin,155,English,0,0,pop,17,23,140,hip hop,58.71
